Oppgave A
accuracy = tensor(0.9726)
accuracy = tensor(0.9824)
accuracy = tensor(0.9854)
accuracy = tensor(0.9833)
accuracy = tensor(0.9851)
accuracy = tensor(0.9849)
accuracy = tensor(0.9830)
accuracy = tensor(0.9834)
accuracy = tensor(0.9845)
accuracy = tensor(0.9842)

Oppgave B
accuracy = tensor(0.9752)
accuracy = tensor(0.9819)
accuracy = tensor(0.9812)
accuracy = tensor(0.9824)
accuracy = tensor(0.9808)
accuracy = tensor(0.9804)
accuracy = tensor(0.9789)
accuracy = tensor(0.9766)
accuracy = tensor(0.9801)
accuracy = tensor(0.9756)

Oppgave C
accuracy = tensor(0.9766)
accuracy = tensor(0.9836)
accuracy = tensor(0.9841)
accuracy = tensor(0.9848)
accuracy = tensor(0.9860)
accuracy = tensor(0.9847)
accuracy = tensor(0.9862)
accuracy = tensor(0.9853)
accuracy = tensor(0.9865)
accuracy = tensor(0.9890)
